"","c..good.night.romance.eye.of.the.tiger.ufeff....jajajajajajajajajfufuufufuufufuufufuufufuufufuuuafufuuaufeff..."
"526","ok everybody who reads this message i was dared to tell everybody that reads this message to like this video and if i dont get this video up to million likes by april st my cousins haliee angelica and daxton are going to plan a evil evil evillllllllllllllllllll prank on me ok so you thing it isnt bad wrongggg daxton is years old and his step dad brian huldge is a master pranker so hes learned everything about pranking even if it causes death so im scurrd angelica is years old she crazy annoying and louduuuuuud just like any other year oldlol and finally haliee is years old haliee graduated collage from in november th she is just like daxton but wayyyyyyyyyyyyyy meaner in her pranking skills name one okay gladly last year on april fools day she gave everyone on her street a garden gnome all of her nighbors are gardeners and when i went to go look at all of them just to see what they all looked like and all of a sudden i hear a few foot steps behind me so i say haliee i know it april fools day but i told you not to use that air horn on me when i turned around there was nobody thereokayy i was a little confused and what i didnt know was that haliees boyfriend carson duane was dressed as a criminal in a black suite with a ski mask and everything so yeahhhh i screamed on the top of my lungs and i grabbed the nearest baseball bat or tall hard object i could find well no duh i would grab a gun but i dont wanna shoot or kill anything i grabbed a metal baseball bat and the next thing i know i was laughing and crying all over the place haliee came around the corner of the house and lunged at carson and said hahahaha got chu kae i was in sooooooooo much relief that i fell on the floor laughing and breathing heavily do you know what my aunt kelly and uncle brian go through i sure as hell dont but if you dont want them to you know plaster me with raw eggs throw me in a ice coldddd pool ok im making myself cringe please oh please i only pick this katy perry song because i know alot of people like this song so you know i thought ya know you kind people reading this now would be a really good help for me please dont let a year old cousin ruin my year old life counting on you guys byeee oh and you only have a week till april st bye yallufeff"
"527","kitty purry best pet name everufeff"
"528","we go to the billion go go go ufeff"
"529","i love the songs of katy perryufeff"
"530","me encanto la musica es hermosa fufuudfufuudfufuudfufuuffufuuffufuuffufuuffufuufufeff"
"531","que canción tan chica de katy perryufeff"
"532","awsomeufeff"
"533","no imagem delet rockof day naith your lm ufeff"
"534","what color of her eyes green or blueufeff"
"535","i used to bite my tongue and hold my breathuuuaufua uu uuuu uuuuua u uuduu uuuua scared to rock the boat and make a messueuuuu uu uuu uuuuuu u uudufub uuuu so i sat quietly agreed politelyuuuu ucuuua uuuuauuc uuuuua uuufu i guess that i forgot i had a choiceuuu uuua uuuaua uuua uuu uufua uueuauauu i let you push me past the breaking pointuauuuau uaufuuuua uuu uuuu uuuuuuauu i stood for nothing so i fell for everythinguuuua uu uucu uu uuuc uuuu uuuua uu uucu uu uu you held me down but i got upuuuuauuauuuuuauua uuuua uuuua uucufufuub already brushing off the dustuuuuuu uuuu uuua uuuauuu you hear my voice your hear that sounduuuua uuuauauc uauuu uuu uuuuua like thunder gonna shake your grounduubu uuuuufuc uuuu uuuu you held me down but i got upuuuuauuauuuuuauua uuuua uuuua uucufufuub get ready cause ive had enoughuuuauuf uuuuua uuuauuaua i see it all i see it nowuuuaua uu uuuc uuuauau uuuu i got the eye of the tiger a fighter dancing through the fireuufua uuau uuuuuuc uuduuuuuc uuuu uu ueuuu uuuuu cause i am a champion and you’re gonna hear me roaruuuua uuuu u uuauuuuua uuuu louder louder than a lionuuuuuc uuuu uu uuuau uuuuuf cause i am a champion and you’re gonna hear me roaruuuua uuuu u uuauuuuua uuuu oh oh oh oh oh ohuuu uuu uuu uuu uuu you’re gonna hear me roaruuauuuuua uuuu now i’m floating like a butterflyuuuu uuuau uuuuuuuu stinging like a bee i earned my stripesuuufua uuuuuduuuc uuuua ueuuuua uuueuuu uua ucuu uuuuduu i went from zero to my own herouuuua uu uuuuu uuu uu uuuudua uuuu you held me down but i got upuuuuauuauuuuuauua uuuua uuuua uucufufuub already brushing off the dustuuuuuu uuuu uuua uuuauuu you hear my voice your hear that sounduuuua uuuauauc uauuu uuu uuuuua like thunder gonna shake your grounduubu uuuuufuc uuuu uuuu you held me down but i got upuuuuauuauuuuuauua uuuua uuuua uucufufuub get ready ’cause ive had enoughuuuauuf uuuuua uuuauuaua i see it all i see it nowuuuaua uu uuuc uuuauau uuuu i got the eye of the tiger a fighter dancing through the fireuufua uuau uuuuuuc uuduuuuuc uuuu uu ueuuu uuuuu ‘cause i am a champion and you’re gonna hear me roaruuuua uuuu u uuauuuuua uuuu louder louder than a lionuuuuuc uuuu uu uuuau uuuuuf ‘cause i am a champion and you’re gonna hear me roaruuuua uuuu u uuauuuuua uuuu oh oh oh oh oh ohuuu uuu uuu uuu uuu you’re gonna hear me roaruuauuuuua uuuu roaror roaror roaroruuuuuc uuuuuc uuuu i got the eye of the tiger a fighter dancing through the fireuufua uuau uuuuuuc uuduuuuuc uuuu uu ueuuu uuuuu ‘cause i am a champion and you’re gonna hear me roaruuuua uuuu u uuauuuuua uuuu louder louder than a lionuuuuuc uuuu uu uuuau uuuuuf ‘cause i am a champion and you’re gonna hear me roaruuuua uuuu u uuauuuuua uuuu oh oh oh oh oh ohuuu uuu uuu uuu uuu you’re gonna hear me roaruuauuuuua uuuuufeff"
"536","lindaufeff"
"537","te amoooo perfeita i am katycat ufeff"
"538","i love to the music ufeff"
"539","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"540","eres la mejor artista del mundo so tu fan numero ufeff"
"541","she told us on an video how she made roar ufeff"
"542","this song made my baby laught so thank youufeff"
"543","damn awesome ufeff"
"544","esta chida la canción ufeff"
"545","this is perfict to practce for my show i cant waitufeff"
"546","shes good i cant layufeff"
"547","awsome ufeff"
"548","she looks orangeufeff"
"549","cool sadly im not wheres the time machineufeff"
"550","q bonitaufeff"
"551","katy perry rocks itufeff"
"552","were did you get the animals and tigers elephants and hornbills dont live on the same continent as capuchin monkeys and macawsufeff"
"553","katy perry es genial me encantan sus cancionesufeff"
"554","wide awake is my favorite song from paris logsdonufeff"
"555","you going to hear me roar roar lol ufeff"
"556","your going to hear me roar roar roar roar roar ufeff"
"557","this bitch is hot ufeff"
"558","how many layers of make up is on that faceufeff"
"559","fake fake fake fake fake fake views reportedufeff"
"560","ouh ohhhhhhh ouh ohhhhhhufeff"
"561","que es ta feo ufeff"
"562","fufuufufuufufuufufuufufuufufuufufuufufucuaufeff"
"563","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"564","es un amor esta chicaufeff"
"565","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"566","at is it just me or does that jungle cat snatch off of indiana moans ass infront the cross dressing tarzanufeff"
"567","am i the only one who keeps watching her boobs the entire videoufeff"
"568","shes nasty and trashyufeff"
"569","shes amazingufeff"
"570","super jeufeff"
"571","roarrrrrrufeff"
"572","dit liedje is altijd leuk om te horenufeff"
"573","katy te amo voce é topufeff"
"574","ufeff"
"575","fãufeff"
"576","uuu uue uuuuuauu uduuuufeff"
"577","katy perry roar official httpyoutubecevxzvsjlkufeff"
"578","me llamo kathrynufeff"
"579","yo soy la ni mero uno de las fans de katy perry e ya canta con emoción y alegría te felisito muchos corazonesuuuuuuuuuuuuufeff"
"580","me encanto te amó katy ufeff"
"581","leganoufeff"
"582","this is the best katy perry song ive ever heardamazin i love katy perryufeff"
"583","youtubedl extractaudio url of thisufeff"
"584","people really doesnt like thisufeff"
"585","ueauedueaueueueueueueueueufeff"
"586","this is a so coolufeff"
"587","uauua uuubuuueud udu uuuuuubuufufeff"
"588","i cant keep watching this videoi might watch firework nowlolufeff"
"589","little monstersufeff"
"590","love katy ufeff"
"591","e nao ta bonita como agoraufeff"
"592","wow million views how luckyufeff"
"593","ive got the eye of the tiger and youre gonna hear me roarufeff"
"594","uauadubbeububfuufeff"
"595","bnnufeff"
"596","nice songufeff"
"597","diversity is code for white genocideufeff"
"598","i think k pop star rillymufeff"
"599","katy perry roar official httpyoutubecevxzvsjlkufeff"
"600","lick katy perrys assufeff"
"601","hahaufeff"
"602","bo ja niewiem heheufeff"
"603","co by tu napisac he heufeff"
"604","prrrr a te looooufeff"
"605","lost in that jungleufeff"
"606","uuuuuuuuuuuuuuuuuuuuuuufeff"
"607","cool ufeff"
"608","you deserve respect for that songufeff"
"609","cmon guyslike this and then the champion not taylor swift blank spaceufeff"
"610","ufeff"
"611","katy perry hasnt just got the best voice but shes also got the sexiest bodyufeff"
"612","vevoufeff"
"613","niceufeff"
"614","good i rate it a ufeff"
"615","slay katy drag everyone bitchufeff"
"616","nice boobs thoughufeff"
"617","your voice is prettyufeff"
"618","love love katy perryufeff"
"619","her bra is the real champion ufeff"
"620","jose villegas stalk much you are harassing me let it go man no one wants to engage you in your hateful conversations leave me alone i told you i did not want anything to do with you so leave me alone and get a different hobby i do not ca"
"621","should be wearing a tiger shirt not e leopard shirt lol but she is beautiful love the vid love herufeff"
"622","i love youufeff"
"623","this left me speechlessufeff"
"624","katy perry m enamordo is beautifulufeff"
"625","katy perry is so fucking hotufeff"
"626","like this song and go monteraufeff"
"627","i am a lion and i want to be freeufeff"
"628","amei a keterufeff"
"629","y love youufeff"
"630","oo million viewsufeff"
"631","gaga is bestufeff"
"632","has the world gone crazy or was this actually really goodufeff"
"633","gaga is bestufeff"
"634","check out this video on youtubejubgewfhhtgufeff"
"635","echa un vistazo a este vídeo en youtubeufeff"
"636","dancing through the fire and your gonna hear me screammmmmm i let you take me past the horrer part and i sat through a ad for nothing you buy popcorn you think ur cute well you better screammmmmm ufeff"
"637","me encantan tus vídeos me gustaría conócete ufeff"
"638","katy perry roar official httpyoutubecevxzvsjlkufeff"
"639","the poor let them eat cake and then hang them for wasteful gluttony ufeff"
"640","yep ur right nico we all have to hear her roaaaarrrrrrrrufeff"
"641","me and my sis and cosin love u ufeff"
"642","love this songufeff"
"643","wives submit to your husbands he is tougher a male lion could beat a tiger no problem men love your wives and protect them do not fight with themufeff"
"644","es bueno y es hermoso para siempreufeff"
"645","this is a great great song think you for having itufeff"
"646","superufeff"
"647","uuufuu uauuuueuuau u ufueuu ueuubuuudue uuuubu uubuuu ua uuuudubuc uueubueuuuc ueuuuduc uuuuufeff"
"648","googufeff"
"649","esta padre el videoufeff"
"650","beautifulufeff"
"651","everything she does is fucking perfectufeff"
"652","i clicked the subtitles and all the lyrics were squares fufuuufeff"
"653","wow this song is really fucking crap now y dose any one like this song listen to torus as or pewdiepie or evan smash songs or rapsufeff"
"654","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"655","remember freaking out because this was like the first video of the prism era ufeff"
"656","esta re bueno el videoufeff"
"657","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"658","scared meufeff"
"659","zog stands for zionist occupied government make no mistake my friends the jews control the media and all of hollywood and those cultural marxist kikes are pushing a real holocaust on every single american citizen the communist jews in the media banks corporations and our own government push for broken families race mixing and the destruction of our self integrity just look at who bankrupted our economy goldman sachs ben shalom bernanke alan greenspan these rich khazars say they are jewish but really they are of the synagogue of satan and hate everything wholesome and good in this world if you are interested in reading more google the daily stormer good luck the human race will surviveufeff"
"660","shes beautiful fufuudufeff"
"661","e eu mandei isso em março dia de as horas e minutos ufeff"
"662","porque vcs não dão joinha eu só americana do sul eu moro em naviraí e eu adoro essa música dêem joinha pra katy perry ok ufeff"
"663","i dont wanna sound negative but theres a lot of makeup in the jungleufeff"
"664","la userò per la gara di ginnastica artistica bella questa canzoneufeff"
"665","wtf ufeff"
"666","this was my first vídeo of katy perry i loved itufeff"
"667","nice song katy perry ufeff"
"668","i love you oufeff"
"669","es biutuffolufeff"
"670","httpswwwfacebookcompagesbadblueboysdugaresaufeff"
"671","uuuuu uuuauaufeff"
"672","check out this video on youtubeufeff"
"673","idolaaaaaaaaaa cufeff"
"674","topufeff"
"675","ilove so much ktufeff"
"676","haha no you dont have the y of the taterufeff"
"677","a little rhythm to life ufeff"
"678","katy perry roar official httpsyoutubecevxzvsjlk beautiful music remexufeff"
"679","melhor a shakiraufeff"
"680","im so gay for herufeff"
"681","este vídeo es demasiado aburrido no pierdan el tiempo aquí y miren vídeos de lady gagaufeff"
"682","ufeff"
"683","so nice of songufeff"
"684","after hearing this song it makes me realize why taylor swift sells more im not being a hater but taylor knows how to connect with her audiences every song taylor makes have a purpose the thing that katy perry lacks even thou she had a great songufeff"
"685","she looks so beautiful in this video dufeff"
"686","my long term gf just broke up with me im sitting in a coffee shop trying to figure out how to get my shit together theres this really cute girl who has been staring at me for some time i smile and wave a little then go back to staring at my coffee i look up to find her sitting beside me she asks me whats wrong i tell her everything she had recently been dumped too shes perfect were talking and i shift my gaze to her boobs then i got a massive erection shit suddenly i feel a hand running up my leg she asks me if i like what i see i say of course i do she unzips my fanny pack and spaghetti falls all over the floor i try to clean it up with my sock doesnt work then i fart out watery diarrhea and smear shit everywhere and ask her to marry me for some odd reason she said no ufeff"
"687","check out this video on youtubeufeff"
"688","i love this song ufeff"
"689","katy perrys songsufeff"
"690","another song that gets into your noodle and you cannot get it outufeff"
"691","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"692","httpteespringcomlegityouufeff"
"693","i like rtl ufeff"
"694","flopufeff"
"695","jhbcvcvxcvxccffffffgfg fufuufufuufufuufufuufufuubfufuufufuubfufuubfufuumix katy perry roar official httpwwwyoutubecomwatchvcevxzvsjlklistrdcevxzvsjlkufeff"
"696","bulimia pichkariufeff"
"697","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"698","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"699","uploaded a new eyelook tutorial check it out fufueuafufuubufeff"
"700","katy perry roar official httpyoutubecevxzvsjlkufeff"
"701","katy perry roar official httpyoutubecevxzvsjlkufeff"
"702","so beautiful love you so much katy perryufeff"
"703","check out this video on youtubeufeff"
"704","i used to bite my tongue and hold my breath scared to rock the boat and make a mess so i sat quietly agreed politely i guess that i forgot i had a choice i let you push me past the breaking point i stood for nothing so i fell for everything you held me down but i got up already brushing off the dust you hear my voice your hear that sound like thunder gonna shake your ground you held me down but i got up get ready cause i’ve had enough i see it all i see it now i got the eye of the tiger the fire dancing through the fire cause i am a champion and you’re gonna hear me roar louder louder than a lion cause i am a champion and you’re gonna hear me roar oh oh oh oh oh oh you’re gonna hear me roar now i’m floating like a butterfly stinging like a bee i earned my stripes i went from zero to my own hero you held me down but i got up already brushing off the dust you hear my voice your hear that sound like thunder gonna shake your ground you held me down but i got up get ready ’cause i’ve had enough i see it all i see it now i got the eye of the tiger the fire dancing through the fire ‘cause i am a champion and you’re gonna hear me roar louder louder than a lion ‘cause i am a champion and you’re gonna hear me roar oh oh oh oh oh oh you’re gonna hear me roar roaror roaror roaror i got the eye of the tiger the fire dancing through the fire ‘cause i am a champion and you’re gonna hear me roar louder louder than a lion ‘cause i am a champion and you’re gonna hear me roar oh oh oh oh oh oh you’re gonna hear me roar ufeff"
"705","i like this songufeff"
"706","my favourite music ufeff"
"707","tiger roarrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrufeff"
"708","uueuudueu uuuuueufeff"
"709","omg jifhdklsfjs i cant believe this already got hundred millions views jfjidogxnfiudxoufeff"
"710","this is my favourite katy perry songufeff"
"711","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"712","that awkward moment when pewdiepie has more subs than katy no offence guys ufeff"
"713","niceufeff"
"714","que bonita mi cancion faboritaufeff"
"715","phimhanhdongufeff"
"716","phimconheoufeff"
"717","phimheoufeff"
"718","a esperar el de octubreeee para m cumpleaños katy preciosaauufeff"
"719","im a championhehehhufeff"
"720","carlosuufeff"
"721","geraldine ufeff"
"722","those eyes though ufeff"
"723","si te gusta la electronica y quieres escuchar buenos tracks visita esta pagina y dale like d httpswwwfacebookcomalbertmusicofficial if you like and want to hear buenos electronic tracks visit this page and likeufeff"
"724","how is it that there is views when rihanna is the only girl in the world ufeff"
"725","stop being rude people if u dont like it than dont watch it dont make her sad just because u dont like itufeff"
"726","i love this song omgfufuudfufuudfufuudfufuudfufuudufeff"
"727","wow your katy perry is pretty ufeff"
"728","katy perry roar official httpyoutubecevxzvsjlkufeff"
"729","i bet half you people would eat her shit if she gave it to youbunch of followers jeez yes she is a good artist in the music industry you people take it waaay too far thoughufeff"
"730","whats the name of the song from ufeff"
"731","why did the tiger get the boy but didnt get katy perryufeff"
"732","muy buena musica mensaje inspirado traducido al espanol ufeff"
"733","o love this songufeff"
"734","katy if you are reading this i would like if you came to preform in oak harbor ohioufeff"
"735","i love katy perry and her songsufeff"
"736","bri favorite somgufeff"
"737","is katy the hottest of the hot at present she is obviously in sweden on tour and yesterday sunday march in the stockholm my home town globe arena some press critics euphoric over her colorful and infallible show wish i had been there katyperry ufeff"
"738","que ferozufeff"
"739","ooohz wild magical mr capricorn phyreatekingpawn says ygnite it ygnazius httpsplusgooglecompatrickdasylvapostszbfciqfuabufeff"
"740","u ucudu uauuuuuuf uuue uduue ufuueuuue ufuuduubufeff"
"741","ooohz wild magical mr capricorn phyreatekingpawn says ygnite it ygnazius httpsplusgooglecompatrickdasylvapostszbfciqfuabufeff"
"742","muy buen tema me ecanta estrellas katyufeff"
"743","at least she has clothes on in this one i give it starsufeff"
"744","httpswwwfacebookcomtalpelegmakeupphotosatypetheater ufeff"
"745","illuminati confirmedufeff"
"746","i love your musicufeff"
"747","wtf at ufeff"
"748","i like thisufeff"
"749","i love this vidoufeff"
"750","gooduafufuufucufeff"
"751","check out this video on youtubeufeff"
"752","i like this song fantasticufeff"
"753","if she was really stranded in the jungle her make up wouldnt be that goodfufuuufeff"
"754","che bella canzoneufeff"
"755","buenas tetas digo buenas tardes xd jajaufeff"
"756","httpslifeindiegogocomfundraisershelpsendmaggietothecollegeofherdreamsx ufeff"
"757","amo esa cancion la oiga como veces al diaufeff"
"758","i wonder how she does to have her hair like that when shes in the jungle surronded by wild animals i go to the supermarket and when i come back my hair is a messufeff"
"759","neumisto spivatufeff"
"760","whatufeff"
"761","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"762","what a fuck of video songufeff"
"763","me encantas katy perri eres mi cantante favorita me muero aaaaaaaaaaaaaaaaaaaaaaaaaufeff"
"764","love love loveufeff"
"765","koekiesufeff"
"766","ucuuauuufeff"
"767","no jodan esta cancion esta buenisimaufeff"
"768","asia ufeff"
"769","league of legends nidalee ufeff"
"770","katy perry roar official httpyoutubecevxzvsjlkufeff"
"771","lindaufeff"
"772","lidaufeff"
"773","ufuuuuubufuducuu uu uuuuue udu youtubeufeff"
"774","one personne dou you speke frenchufeff"
"775","muy muy adorableufeff"
"776","thumbs up if youre watching in ufeff"
"777","my sister is on her period you wanna hear her roarufeff"
"778","adoroooooufeff"
"779","and your going to hear her roarufeff"
"780","wonderful ufeff"
"781","lol ufeff"
"782","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"783","she seems like some positive personufeff"
"784","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"785","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"786","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"787","i like her song than video ufeff"
"788","katy perry roar tqm ufeff"
"789","no solo de rock vive el hombre ella es una de mis divas pop que más quiero shes one of my favourite divas i need pop we dont live only of rock katyperry popmusic ufeff"
"790","holy fuck milions the world is fucked up sad ufeff"
"791","love youufeff"
"792","katy perry olha eu só uma grande fã sua sou brasileira mas eu sempre quis fala com vc povavor me responde uuuuuuufeff"
"793","flight of the amazon queenufeff"
"794","help me reach subscribers for nothing pleaseufeff"
"795","uaubuuu ufuueuuue uuufuu ufeff"
"796","check out this video on youtube i heard this gets you likesufeff"
"797","katy perry roar officiai ervaufeff"
"798","getting erected wowufeff"
"799","amo esta mujer de las mas hermosas de la historia i love this woman it is the most beautiful of historyufeff"
"800","great music ma best for ufeff"
"801","lion not tigerufeff"
"802","how can this have million views if rihanna is the only girl in the worldufeff"
"803","i love this videoufeff"
"804","great song love kate soo muchufeff"
"805","hello everybody if there is good people please could you look at my music video a clip on my track mix of songs it is named “denj – relax” i think the video is not bad but im interested in your opinion sorry for prufeff"
"806","uaubuuuduufeff"
"807","it is one of the greatest songs ever it is truly a masterpiece ufeff"
"808","beautiful music and voice but again illuminati ufeff"
"809","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"810","what a stupid cunt she is this is camel shitufeff"
"811","uauua ueudu ueuudueuuuuuf ua uueuuuu ufueubueuuuuubucudue uubu ueuuuuuuuubucudueufeff"
"812","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"813","nico potters you posted your comment days ago saying the video is months old the video is over a year old dude ufeff"
"814","paupower apoyando a mi reina katy perry pacen x boys will be boys mi nuevo vicio ni una sola palabra ufeff"
"815","uauuuueufeff"
"816","feminist communist ufeff"
"817","katy eres la mujer mas hermosa del mundodeseo hacaerte el amor hasta romper la cama de placerufeff"
"818","kaufeff"
"819","hellow katy ufeff"
"820","she fineufeff"
"821","superufeff"
"822","the song is pretty catchy the video is hella coolkaty perry is very talented where is the problem hahaha by the way check my videos she inspired me is it only me to replay her song on and onufeff"
"823","katty eres la mujer mas hermosa del mundodesearia amarte hasta romper la cama de sexo y placerufeff"
"824","muito bomufeff"
"825","roarufeff"
"826","que rugido mais sensual ufeff"
"827","i bet you dollars if she had a cat shed name it kitty purryufeff"
"828","check out this video on youtubeufeff"
"829","echa un vistazo a este vídeo en youtubeufeff"
"830","mto bom o ritmo ufeff"
"831","she cant sing omfg so annoringufeff"
"832","god is my boyufeff"
"833","i love you so much fufuu fufuub fufuu fufuubcfufuubfufuufufuuaeufeff"
"834","ever since this song came out people are like i have the eye tiger just like katy perry and im like she didnt invent that and there like yes she did it was in roar in a super bitchy voice and im like no there was a song fucking years ago and there like they didnt mean it like she did and im like listen to the song watch rocky and stop paying to see these crappy movies and stop listening to these terrible songs like this and watch a movie from the s or thes welcome to the real world population everybody except you this has been a pipe bombufeff"
"835","subscribe on my channel i give back ufeff"
"836","its better to roar than wrecking some ballsufeff"
"837","a great song with a great message not even a fan of katy to begin with but its refreshing to hear songs that push you to get back on tracks never be dependant of anyone or anythingufeff"
"838","uuuuf uub uueuuuub uuuu udu ufuuuueuuuduuuu uueuucueuudueuuu uuuc uubuuuuuuc uduuue u udu uuuuubuuucuufufeff"
"839","this is osimufeff"
"840","uuue uu uuuuufeff"
"841","not only is katy beautiful but i could sit and listen to her sing for hours i sincerely thank who ever was responsible for encouraging her to persue her singing career i hope you continue to please us loyal fan thank youufeff"
"842","thumbs up if your watching in ufeff"
"843","esta muy padre ufeff"
"844","sou a favor do youtube banir clipes de pessima qualidade e que prejudicam a audição das pessoas como esseufeff"
"845","me gusta cuando el muchacho se tma la selfiufeff"
"846","fufuufufuufufuuufeff"
"847","love itufeff"
"848","vote for katyperry music darkhorse httpwwwnickcomkidschoiceawardsvotefavoritesongoftheyear vota por kp artistfavorite httpwwwnickcomkidschoiceawardsvotefavoritefemalesinger gracias ucufeff"
"849","helloyufeff"
"850","love it girlasomeufeff"
"851","adorei minha divaufeff"
"852","lol u r all rightufeff"
"853","catchy songufeff"
"854","here it comes the disliker xdufeff"
"855","hola a todos mis seguidorestengo a ayudar una amiga de familia a conseguir menos distribuciones por lo mejor canción por katyperryquien me ayuda matthew t richards fernando h salas nelly yolanda viola alan shapiro betty jara c edin del cid dénes bereczky micaela pedrosa sepp hasslberger foued ben foulen ferencné erdélyi elvira ciobanu et coufeff"
"856","lo maximo fufuueufeff"
"857","i love you katty perryufeff"
"858","nidalee ufeff"
"859","wow i like a tigers but a katy perry ufeff"
"860","katy perry cufeff"
"861","is cómo goodufeff"
"862","ufuuuduf ufuuuaueubucuduuf u uauue uuuuuauuufeff"
"863","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"864","es bueno pero lo malo es q es muy falsa porque los leones te comen en un minuto ufeff"
"865","i am doing a talent show suggestions of what song should i do ufeff"
"866","muy bien katyme gustas tu y tus animalitosufeff"
"867","mondjam vagy ne mondjamnekem tetszik httpswwwyoutubecomwatchvcevxzvsjlk katyperrynektek is b annamaria irina nagy gyuris irene serban juhasz iren irene nagy serban libelula verde lajos józsa fantasy senza madona sergey magell oswaldo jaen angeles umpierrez tamriko pasjuk erzsi balogh stb mindenki ufeff"
"868","has she played the role of a woman tarzan in this songufeff"
"869","i love you katyyufeff"
"870","roarrrrrrrrufeff"
"871","me gusta este video mucho xdddufeff"
"872","roar rrrrooooaaaarrrrufeff"
"873","but hands down she is way nicer looking that taylor swiftufeff"
"874","im a horny bitchyour going hear me be a whore ufeff"
"875","nico pottersthats a fags name too by the waybut its more then months you fucking retardufeff"
"876","hi katyperry the vidio roar ise so coolufeff"
"877","this video helped me remember my domains dkpcofgs did kitty purry claw over franks good suit or domain kingdom phylum class order family genus speciesufeff"
"878","uufeff"
"879","did any else notice that of her brown upper arm braclets fell down in a sceneufeff"
"880","jejkuuuuuufeff"
"881","uuuufeff"
"882","her videos look like so much funufeff"
"883","my queen ufeff"
"884","shes talking about a tiger and wears a cheetah top d love this song thoughufeff"
"885","titsufeff"
"886","i love this songufeff"
"887","tufeff"
"888","ariana ufeff"
"889","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"890","daim this has million likesufeff"
"891","i loved roreufeff"
"892","uauue uuuuuauu uuuuuc ufeff"
"893","ciaoooooufeff"
"894","your gonna hear a whore aaaaaaauhu uaaaaaaahuu uaaaaahua i got he eye of a liar your gonna hear a whoreufeff"
"895","shes hot but her songs are awfulufeff"
"896","hey katy when the devil has his cock shoved down your throat how will you roarufeff"
"897","who thinks that this song is made for her and for nidalee a champion of league of legends it says cause i am a champion at also it says i have the eye of the tiger at which nidalee has the eyes of a tiger and stuff its confirmed for meufeff"
"898","mln likes o gosh congrats my queen ufeff"
"899","i love you katy ufeff"
"900","win is your brthdayufeff"
"901","para bens nick ufeff"
"902","check out this playlist on youtubeufeff"
"903","katy perry roar official httpyoutubecevxzvsjlk to all domestic violence victims survivorsufeff"
"904","bealtifullufeff"
"905","i dont mind the ads i dont mind the buffer but when the ads buffer i sufferufeff"
"906","katy perryufeff"
"907","bardzo to lubieufeff"
"908","yeaa wathufeff"
"909","beautiful girl beautiful voice beautiful songufeff"
"910","ma tantx togobni din iddiskaufeff"
"911","i love katy parry ufeff"
"912","dammtrying to reach that pitch scaleufff not getting itufeff"
"913","nightcore ueuufuufeff"
"914","delicious boobsufeff"
"915","svida mi seufeff"
"916","goodufeff"
"917","fufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudufeff"
"918","classufeff"
"919","very nice song katy ufeff"
"920","roar roar roarufeff"
"921","mufeff"
"922","i love you katty perry xdufeff"
"923","like if you watching this in ufeff"
"924","dieses lied müsst ihr euch unbedingt anhören httpswwwyoutubecomwatchvcevxzvsjlkufeff"
"925","i like yufeff"
"926","hey guys ive made a seconds cover u please check it outu ufeff"
"927","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"928","like and subscribe if your watching this in ufeff"
"929","udueuuc uuubueuuauufeff"
"930","even though in the video she has been in a plane crash she looks fine to me with her hair and make up and if u where in a plane crash u r more likely to be deadufeff"
"931","fucking song so bad i dont know how it get ufeff"
"932","roar fufuufufuuaffufuufufuuaffufuufufuufufuufufuuaffufuuaffufuuaf katyy ufeff"
"933","if your heart is bounded to help only without any selfbenefit not sticking on whichever selfinterest not at all and acquiring the law of nature you would be delighted in full swing to help others no matter what the result is it won’t be a pressure on you this is called satisfaction of life which would be discovered and gained by your own selfufeff"
"934","katy perryufeff"
"935","ucuubuuub uauua uub uuuubuubuufeff"
"936","katy perry roar official httpyoutubecevxzvsjlkufeff"
"937","wonder what shes tripping onufeff"
"938","katy perry roar official httpyoutubecevxzvsjlkufeff"
"939","i dont know why you interesting only japan in your line official had about website roar japan lyrics arigato japan ughhhh you dont like any any country in the world interesting only only japan japan see u at primsmatic tour asia at thailand th may comment by thailand people love u katy perry ufeff"
"940","nidaleeufeff"
"941","bellaufeff"
